MJID_SwordFighter	Swd0A
MJID_SwordMaster	Swd1A
MJID_BraveHero	Swd2A
MJID_LanceFighter	Lnc0A
MJID_Halberdier	Lnc1A
MJID_RoyalKnight	Lnc2B
MJID_AxFighter	Axe0A
MJID_Berserker	Axe1A
MJID_Warrior	Axe2A
MJID_Archer	Bow0A
MJID_Sniper	Bow1A
MJID_BowKnight	Bow2B
MBSID_Heavy	Amr0A
MJID_General	Amr1A
MJID_GreatKnight	Amr2B
MBSID_Horse	Cav0B
MJID_Paladin	Cav1B
MJID_WolfKnight	Cav2C
MBSID_Fly	Wng0E
MJID_GriffonKnight	Wng1F
MJID_DragonKnight	Wng2D
MJID_Mage	Mag0A
MJID_Sage	Mag1A
MJID_MageKnight	Mag2B
MJID_Monk	Rod0A
MJID_MasterMonk	Rod1A
MJID_HighPriest	Rod2A
MJID_Thief	Dge0A
MJID_Barbarian	Bbr0A
MJID_Enchant	Ect3A
MJID_MageCannon	Mcn3A
MJID_PhantomWolf Wlf0CT_c715
MJID_PhantomFlyingDragon Fyd0DT_c715
MJID_MorphWolf	Wlf0CT_c707 Wlf0CT_c751
MJID_MorphFlyingDragon	Fyd0DT_c707 Fyd0DT_c750
MPID_Lueur	c001:1
MPID_PastLueur	c002:1
MPID_Rafale	c049
MPID_Il	c049b
MPID_Alfred	c100
MPID_Boucheron	c101
MPID_Louis	c102
MPID_Jean	c103
MPID_Diamand	c200
MPID_Staluke	c201
MPID_Morion	c202
MPID_Umber	c203
MPID_MorphMorion	c204
MPID_Hyacinth	c300
MPID_Zelkova	c301
MPID_Kagetsu	c302
MPID_Linden	c304
MPID_Fogato	c400
MPID_Pandoro	c401
MPID_Bonet	c402
MPID_Seadas	c403
MPID_Vandre	c500
MPID_Clan	c501
MPID_Mauve	c502
MPID_Gregory	c503b
MPID_Gris	c503
MPID_Sombre	c504
MPID_Hector	c510
MPID_Senerio	c511
MPID_Chrom	c512
MPID_Reflet	c513
MPID_Dimitri	c514
MPID_Claude	c515
MPID_Marth	c530
MPID_Siglud	c531
MPID_Leaf	c532
MPID_Roy	c533
MPID_Ike	c534
MPID_Byleth	c535
MGID_Ephraim 	c536
MID_TUT_BMAP_DARKHERALDIC_TITLE	c711
MPID_FileneVillager	c809
MPID_M004_Boss	c811
MPID_M005_Boss	c812
MPID_M013_BossA	c813
MPID_M013_BossB	c814
MPID_M006_Boss	c815
MPID_WeaponShop	c817
MPID_AccessoriesShop	c818
MPID_JeanFather	c819
MPID_Lueur	c051:2	c053:10 Drg0AF c054:2
MPID_PastLueur	c052:2
MPID_El	c099
MPID_Celine	c150	c150b:4
MPID_Eve	c151
MPID_Etie	c152
MPID_Chloe	c153
MPID_Jade	c250
MPID_Lapis	c251
MPID_Citrinica	c252
MPID_Yunaka	c253
MPID_Saphir	c254
MPID_Rosado	c303
MPID_Ivy	c350    c350b:4	Info_c350c
MPID_Hortensia	c351    c351b:4	c353:4 c353b:4
MPID_Goldmary	c352
MPID_Misutira	c450    c450b:4
MPID_Sfoglia	c451
MPID_Merin	c452
MPID_Panetone	c453
MPID_Fram	c550	Rod0AF	w
MPID_Veyre	c551	c556:4
MPID_Anna	c552
MPID_Selestia	c553b   c553c:16
MPID_Sepia	c553
MPID_Madeline	c554b
MPID_Marron	c554
MPID_Lumiere	c555
MPID_MorphLumiere	c558
MPID_Tiki	c560
MPID_Camilla	c561
MPID_Veronica	c562
MPID_Edelgard	c563
MPID_Celica	c580
MPID_Lin	c581
MPID_Eirik	c582
MPID_Micaiah	c583
MPID_Lucina	c584
MPID_Kamui	c585
MPID_M003_Boss	c855
MPID_ItemShop	c856
MPID_BlackSmith	c857
MPID_JeanMother	c858
MPID_S002_Boss	c859
MPID_Morph	c707	c702:1	c703:2  c704:1  c705:2
MPID_Phantom	c713:1	c714:2
PCCMID_Player	c699
MID_Hub_DragonRide_Target_Normals	c000
